# smearing, mass, nbins, fpr, tpr, overlapping
0.000000000000000000e+00 4.000000000000000000e+00 1.500000000000000000e+01 4.509000000000000230e-01 1.000000000000000000e+00 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+01 3.435000000000000275e-01 1.000000000000000000e+00 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 3.500000000000000000e+01 1.990000000000000102e-01 9.942999999999999616e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000000e+01 1.751999999999999946e-01 9.887000000000000233e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+01 1.393000000000000071e-01 9.668999999999999817e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+01 1.137999999999999984e-01 9.355999999999999872e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000000e+01 8.490000000000000324e-02 8.487000000000000099e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 1.000000000000000000e+02 6.959999999999999520e-02 7.596000000000000529e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 1.200000000000000000e+02 5.790000000000000008e-02 6.801000000000000378e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 1.500000000000000000e+02 4.549999999999999878e-02 5.758999999999999675e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+02 3.370000000000000079e-02 4.532999999999999807e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 2.500000000000000000e+02 2.829999999999999877e-02 3.729999999999999982e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+02 2.359999999999999945e-02 3.149000000000000132e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 3.500000000000000000e+02 2.069999999999999965e-02 2.743999999999999773e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000000e+02 1.839999999999999969e-02 2.394999999999999907e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 4.500000000000000000e+02 1.569999999999999868e-02 2.139000000000000068e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+02 1.460000000000000013e-02 1.905000000000000027e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+02 1.290000000000000001e-02 1.625999999999999945e-01 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000000e+02 9.799999999999999684e-03 1.223999999999999949e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+00 9.688999999999999835e-01 9.935000000000000497e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 1.000000000000000000e+01 6.619000000000000439e-01 9.935000000000000497e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 1.500000000000000000e+01 4.671000000000000152e-01 9.923999999999999488e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+01 3.564999999999999836e-01 9.838000000000000078e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 3.500000000000000000e+01 2.053999999999999992e-01 8.999000000000000332e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000000e+01 1.826000000000000123e-01 8.574000000000000510e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+01 1.436999999999999944e-01 7.660000000000000142e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+01 1.212000000000000022e-01 6.838999999999999524e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000000e+01 9.099999999999999756e-02 5.484999999999999876e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 1.000000000000000000e+02 7.190000000000000557e-02 4.576999999999999957e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 1.200000000000000000e+02 6.049999999999999822e-02 3.882999999999999785e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 1.500000000000000000e+02 4.839999999999999858e-02 3.169000000000000150e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+02 3.540000000000000091e-02 2.409000000000000030e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 2.500000000000000000e+02 2.850000000000000103e-02 1.957000000000000128e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+02 2.359999999999999945e-02 1.645000000000000073e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 3.500000000000000000e+02 2.060000000000000026e-02 1.403000000000000080e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000000e+02 1.799999999999999864e-02 1.237999999999999934e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 4.500000000000000000e+02 1.619999999999999912e-02 1.105000000000000010e-01 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+02 1.439999999999999961e-02 9.859999999999999321e-02 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 6.000000000000000000e+02 1.239999999999999956e-02 8.350000000000000477e-02 3.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000000e+02 8.699999999999999400e-03 6.289999999999999758e-02 3.000000000000000000e+00
